step_idx,symbol,timestamp_target,target,log_ret_1m,roll_ret_5m,roll_vol_15m,vwap_dev,vwap_z_30m,volume_z_30m,roll_vol_15m_volume,hl_spread,hl_range_15m,time_sin,time_cos,is_open30,is_close30
0,AAPL,2020-01-02 15:28:00,1.0,0.00083484076,0.0023671945,0.000635592,0.0036314607,1.0996537,0.42164376,526281.9,0.0015299027,0.004867872,0.45039815,0.8928278,1.0,0.0
1,AAPL,2020-01-02 15:28:00,1.0,-0.00013909173,0.0015312873,0.0006201047,0.0034037824,1.1312709,-0.14396593,532161.06,0.0011128113,0.0048685493,0.46472317,0.885456,0.0,0.0
2,AAPL,2020-01-02 15:28:00,1.0,0.0,0.00055656047,0.0006190592,0.0033325907,1.1782697,-0.45806146,541009.06,0.00055640563,0.0048685493,0.47892758,0.8778544,0.0,0.0
3,AAPL,2020-01-02 15:28:00,1.0,-0.0008349569,-0.0008349569,0.00065453444,0.0024400952,1.2582179,-0.27364066,550261.06,0.001392176,0.004872616,0.4930077,0.8700249,0.0,0.0
4,AAPL,2020-01-02 15:28:00,1.0,0.0004175656,0.00027835768,0.0006623769,0.0028211407,1.3378564,-1.0990589,542696.56,0.0008349569,0.004870582,0.50695986,0.86196965,0.0,0.0
5,AAPL,2020-01-02 15:28:00,1.0,0.0,-0.00055648305,0.0005963882,0.0027929458,1.4395566,-1.3305628,521018.12,0.0008349569,0.004870582,0.52078044,0.8536907,0.0,0.0
6,AAPL,2020-01-02 15:28:00,1.0,0.0012516517,0.0008342603,0.0006744814,0.003953206,1.626357,0.33799917,531677.06,0.0013898541,0.0045865183,0.53446585,0.8451901,0.0,0.0
7,AAPL,2020-01-02 15:28:00,1.0,0.0005557871,0.0013900475,0.00067435333,0.0044116206,1.7813829,0.27023602,553732.25,0.0006945409,0.0050006947,0.5480125,0.8364701,0.0,0.0
8,AAPL,2020-01-02 15:28:00,1.0,-0.0005557871,0.0016692173,0.00068945315,0.0037913106,1.8211643,-0.48408443,557036.0,0.0011118832,0.0052814456,0.5614169,0.82753307,0.0,0.0
9,AAPL,2020-01-02 15:28:00,1.0,0.00027793218,0.0015295838,0.0006847015,0.0040060533,1.8359759,-0.4536823,566055.2,0.0005557871,0.005279978,0.5746757,0.81838125,0.0,0.0
10,AAPL,2020-01-02 15:28:00,1.0,0.0,0.0015295838,0.00063660386,0.003951247,1.8198119,-0.7131886,556221.3,0.0006947339,0.00389051,0.58778524,0.809017,0.0,0.0
11,AAPL,2020-01-02 15:28:00,1.0,-0.00027793218,-1.2517114e-16,0.0006148529,0.003616864,1.7870764,-0.3874532,555624.56,0.00069492706,0.0033356498,0.6007423,0.79944277,0.0,0.0
12,AAPL,2020-01-02 15:28:00,1.0,-0.0013908208,-0.001946608,0.0006660806,0.0021742857,1.7406667,0.8093559,557015.44,0.0019485038,0.0030619346,0.61354333,0.78966105,0.0,0.0
13,AAPL,2020-01-02 15:28:00,1.0,-0.00041762373,-0.0018084445,0.0006592724,0.0017301074,1.6630098,-0.32011563,554484.56,0.0011138959,0.0032024505,0.6261852,0.77967435,0.0,0.0
14,AAPL,2020-01-02 15:28:00,1.0,-0.00027851274,-0.0023648895,0.0006383888,0.0014311003,1.582232,-0.4223059,551929.3,0.0008356546,0.0032033427,0.63866454,0.7694853,0.0,0.0
15,AAPL,2020-01-02 15:28:00,1.0,-0.0005572583,-0.0029221477,0.0006178825,0.000859588,1.5009127,-0.050148796,506538.4,0.0015328875,0.0037625418,0.6509781,0.75909656,0.0,0.0
16,AAPL,2020-01-02 15:28:00,1.0,-0.00097594986,-0.0036201654,0.00066632393,-0.00011432801,1.3999174,0.99562985,509097.88,0.0015343842,0.005021621,0.66312265,0.7485108,0.0,0.0
17,AAPL,2020-01-02 15:28:00,1.0,-0.00027901787,-0.0025083625,0.00067020714,-0.0003879166,1.3035475,-0.37774885,503341.06,0.0012557555,0.005023022,0.67509514,0.7377307,0.0,0.0
18,AAPL,2020-01-02 15:28:00,1.0,0.0015336357,-0.0005571031,0.0007479996,0.0011337644,1.2464452,-0.8868111,488820.28,0.001950404,0.005015325,0.6868924,0.72675914,0.0,0.0
19,AAPL,2020-01-02 15:28:00,1.0,0.0004178564,0.00013926606,0.0007480104,0.001534939,1.2028949,-0.8009699,490578.12,0.0013925637,0.0050132293,0.69851136,0.71559894,0.0,0.0
20,AAPL,2020-01-02 15:28:00,1.0,-0.0012540934,-0.00055756903,0.0008150887,0.00027534034,1.141946,0.19711012,508851.47,0.0016731735,0.0050195204,0.709949,0.7042531,0.0,0.0
21,AAPL,2020-01-02 15:28:00,1.0,0.0,0.00041838086,0.000748283,0.00027290883,1.0835322,-1.153039,485572.53,0.00083658675,0.0050195204,0.72120243,0.69272435,0.0,0.0
22,AAPL,2020-01-02 15:28:00,1.0,-0.00013944085,0.0005579579,0.00073527574,0.00013228405,1.0284655,-1.1760522,464008.0,0.0012550551,0.0050202203,0.7322687,0.68101585,0.0,0.0
23,AAPL,2020-01-02 15:28:00,1.0,-0.00041843922,-0.001394117,0.00072918436,-0.0002825476,0.96900946,-0.34230813,462805.6,0.0011160715,0.0047433036,0.7431448,0.6691306,0.0,0.0
24,AAPL,2020-01-02 15:28:00,1.0,-0.0005581915,-0.002370165,0.00073981885,-0.00082066545,0.88015103,1.9304955,489769.06,0.001535455,0.0058626467,0.7538281,0.6570717,0.0,0.0
25,AAPL,2020-01-02 15:28:00,1.0,0.0009766307,-0.00013944085,0.00078161317,0.0001540945,0.8422992,-0.8348501,487193.34,0.0015339563,0.005717473,0.7643157,0.6448422,0.0,0.0
26,AAPL,2020-01-02 15:28:00,1.0,-0.0005579579,-0.00069739873,0.00079153257,-0.0004003085,0.79627085,-1.0437454,478298.66,0.0009766987,0.0054416074,0.774605,0.6324454,0.0,0.0
27,AAPL,2020-01-02 15:28:00,1.0,0.0005579579,-9.855398e-17,0.0007199441,0.00015627209,0.763614,-1.0261567,454790.12,0.0011156045,0.004044066,0.7846932,0.6198844,0.0,0.0
28,AAPL,2020-01-02 15:28:00,1.0,0.00027886225,0.00069730147,0.0007154554,0.0004303861,0.744661,-0.41294783,452339.47,0.0008364701,0.003903527,0.79457766,0.60716254,0.0,0.0
29,AAPL,2020-01-02 15:28:00,1.0,0.0005574913,0.0018129842,0.0007262403,0.0009816977,0.7403048,-1.251003,439946.94,0.0006966699,0.0039013515,0.80425596,0.59428304,0.0,0.0
